line	Alpha	Alpha_SE	Beta	Beta_SE
RIL4	0.00026509535814108	3.37566195324166e-05	0.00119904998608969	0.000153571664939251
RIL6	0.000229790197326732	6.8399926934745e-05	0.000998553675457849	0.000298743030400276
RIL7	0.000421214749938405	3.01828068942575e-05	0.00183439385047439	0.000132612558604763
RIL11	0.000327330689094002	1.68795003300113e-05	0.00137384083623071	7.13279624601435e-05
RIL13	0.000268414183687646	1.41259575326624e-05	0.00111083643544551	5.87872034839433e-05
RIL15	0.000436531823759161	4.46734915489411e-05	0.00244116285720928	0.000252677055398537
RIL18	0.000263572928038689	3.70051196701113e-05	0.0011132481368961	0.000157164276573606
RIL19	0.000264553693060954	3.26019535949899e-05	0.00104872564434095	0.000129919964861992
RIL21	0.000137103212583831	3.80687651537592e-05	0.00060779119894047	0.000169263160379177
RIL22	0.000292463250255934	1.82267119117279e-05	0.00104788084653912	6.56590371246824e-05
RIL23	0.000192562906648145	4.46908444805216e-05	0.000837218509834937	0.000195110357871821
RIL25	0.000333375706299017	2.48998878966678e-05	0.00136654958870616	0.000102717628680726
RIL27	0.000373383749816566	2.81187275977212e-05	0.00178685399421874	0.000135712472998369
RIL29	0.000328098876033056	2.27712075064404e-05	0.00129671034111376	9.05429199848611e-05
RIL36	0.000214709915046449	1.6462853066165e-05	0.000904321333312946	6.96552647770834e-05
RIL37	0.000308440268189403	4.16257811981426e-08	0.00125703634938109	1.70698608809911e-07
RIL50	0.000539809989993742	5.69485704377759e-05	0.0023514289889802	0.00025080130193049
RIL54	0.000321085554767703	2.9635278141264e-05	0.00133926865555007	0.000124417537383891
RIL55	0.000398996386162259	2.99781827130724e-05	0.0016472097644454	0.000124774721887712
RIL58	0.000150707154536161	2.81258661657815e-05	0.000583095697931637	0.000109122986181809
RIL59	0.00025154882951806	1.79494928649331e-05	0.000941640711369962	6.75048283745518e-05
RIL61	0.000179836150548169	2.79984146182183e-05	0.00073873636813117	0.000115430770242392
RIL63	0.000401483498033919	5.82042745662525e-05	0.00179972048842563	0.000263107015480605
RIL65	0.000260629453405529	7.15929294217535e-05	0.00110615815510149	0.000305523827351562
RIL68	0.000227281101647046	2.12415576715359e-05	0.000959571405822768	9.0102410860241e-05
RIL70	0.000230836321947479	3.55187329755737e-05	0.000943399555482034	0.000145830182755565
RIL71	0.000184918677296961	2.71197931701226e-05	0.000757186090746006	0.00011147008618209
RIL72	0.000253416417346736	3.84703704039649e-05	0.00111207863149048	0.000169736686285625
RIL101	0.000299967613853436	2.76186034927791e-05	0.00106237209086689	9.83181970498149e-05
RIL108	0.000268771973929248	2.88179713584033e-05	0.00125643888089157	0.000135543335737361
RIL112	0.000385340707705007	5.01812755652873e-05	0.00153394795581688	0.000201270013862629
RIL116	0.000369576657752462	3.20107106037617e-05	0.00167664092230911	0.000146380622935913
RIL120	0.00035186980069023	5.50809442238703e-05	0.00145486605870983	0.00022927381880003
RIL125	0.000245129058359051	3.2001217928656e-05	0.000974876036315765	0.000127905731977828
RIL126	0.000286897602781583	2.38198206235788e-05	0.00111963971022514	9.34702250553552e-05
RIL127	0.000216364275080175	2.75383923357703e-05	0.000933785188851261	0.000119399705861814
RIL132	0.00030476219373096	5.86241296427484e-09	0.00119361363216014	2.30973376003647e-08
RIL133	0.000213841861462503	2.09359964484221e-05	0.00085168951362846	8.37392961581448e-05
RIL135	0.000247485306876267	1.86491431963857e-05	0.00101566454753863	7.69447533364515e-05
RIL136	0.00037664179682358	4.69516999728051e-05	0.00181918425304789	0.000228666212882767
RIL140	0.000162065356296589	4.42264533206854e-05	0.000791039258619008	0.000216692835775643
RIL142	0.000224405270225349	2.91446528785584e-08	0.000921504159208017	1.20217812786095e-07
RIL143	0.000346257989282511	4.0917911964618e-05	0.00152808721553047	0.000181898612603989
RIL146	0.000199369714070399	2.20240848669001e-05	0.000753676451123953	8.35766596622946e-05
RIL147	0.00034724283410131	3.57012534514797e-05	0.00149286833786899	0.000154600045603736
RIL149	0.00015043153220679	4.91563275721549e-05	0.000569065185338895	0.000186479323831297
RIL150	0.000136912879584403	5.50355782341913e-05	0.000577626360481789	0.00023291379539995
RIL151	0.000311801590318472	2.18087229200999e-05	0.00124097441205971	8.73299691742343e-05
RIL153	0.000261697443039219	4.33331815793465e-05	0.000980362679148585	0.00016314333703253
RIL154	0.000321528876626155	2.66312160296564e-05	0.00118682336516129	9.88868783775941e-05
RIL155	0.000433736072816814	5.82754698919236e-05	0.00208952590655411	0.000283519408699925
RIL158	0.000258840806852048	1.96153391022882e-05	0.00101135832878638	7.70277890777147e-05
RIL162	0.000397549081005305	6.31690707788121e-05	0.00187873448726442	0.000301246959851642
RIL163	0.000347222314239911	3.7473767497261e-05	0.00135970950836701	0.000147734275240908
RIL165	0.000284316516295274	2.30277738102097e-05	0.00122445530097439	9.97678669061473e-05
RIL166	0.000266852545832338	1.72550600242481e-05	0.00108595760256262	7.0593490022985e-05
RIL167	0.000346024385764164	2.52629735268236e-05	0.0015290421726374	0.000112462440555562
RIL168	0.000291950238887093	3.54971928948188e-05	0.00138620064009541	0.000169707019066175
RIL170	0.000348096889144203	3.1679985324163e-05	0.00133228725187383	0.000122066671521677
RIL172	0.000296490565920282	1.65731184469627e-05	0.00109688109326292	6.16517629874091e-05
RIL173	0.000185617289043064	1.81630843576275e-05	0.000714673551714936	7.01817493564394e-05
RIL175	0.00025790106774847	3.78514570776354e-05	0.00114255697434406	0.000168644913682454
RIL180	0.000230314505313725	2.80601189938753e-05	0.000822733879336992	0.000100658590538337
RIL182	0.000133617329823352	4.11427623691988e-05	0.000518460286939406	0.000160033283943109
RIL186	0.000215218099682073	2.39902339305305e-05	0.000950258336941006	0.000106418488511238
RIL190	0.000257429332217924	2.05296624273414e-05	0.00111732667076473	8.95996077805321e-05
RIL191	0.000295276898105429	5.15629193970368e-05	0.00108771429930689	0.00019091236937095
RIL192	0.000223585695063157	1.47188290195126e-05	0.000991896321239928	6.56125018270036e-05
Cvi	0.000652061774708215	0.000635407652163818	0.00319954933552007	0.0031789299649253
Ler	0.000171548494597822	3.48999450566462e-05	0.000665629764655265	0.000135867216820712
